word,special_word,group,query_type,raw_word,category,strength,row_id,source,normalized_key,decision,use_in_high_precision_lexicon,confidence,recommended_form,reason,duplicate_of
"in contrast,",False,explicit_contrast,manual,,,,,,,,,,,,
"on the other hand,",False,explicit_contrast,manual,,,,,,,,,,,,
"conversely,",False,explicit_contrast,manual,,,,,,,,,,,,
"alternatively,",False,explicit_contrast,manual,,,,,,,,,,,,
"by contrast,",False,explicit_contrast,manual,,,,,,,,,,,,
"instead,",False,explicit_contrast,manual,,,,,,,,,,,,
"on the contrary,",False,explicit_contrast,manual,,,,,,,,,,,,
"contrastingly,",False,explicit_contrast,manual,,,,,,,,,,,,
"contrasted with,",False,explicit_contrast,manual,,,,,,,,,,,,
"viewed differently,",False,explicit_contrast,manual,,,,,,,,,,,,
"viewed from the opposite perspective,",False,explicit_contrast,manual,,,,,,,,,,,,
to counter,False,explicit_contrast,manual,,,,,,,,,,,,
explicit,True,explicit_similarity,special_word,,,,,,,,,,,,
"similarly,",False,explicit_similarity,manual,,,,,,,,,,,,
"in other words,",False,explicit_similarity,manual,,,,,,,,,,,,
"likewise,",False,explicit_similarity,manual,,,,,,,,,,,,
"in the same way,",False,explicit_similarity,manual,,,,,,,,,,,,
"equally,",False,explicit_similarity,manual,,,,,,,,,,,,
"in a similar vein,",False,explicit_similarity,manual,,,,,,,,,,,,
"in a similar fashion,",False,explicit_similarity,manual,,,,,,,,,,,,
"in the same vein,",False,explicit_similarity,manual,,,,,,,,,,,,
"by the same token,",False,explicit_similarity,manual,,,,,,,,,,,,
"in like manner,",False,explicit_similarity,manual,,,,,,,,,,,,
This is similar to a case where,False,explicit_similarity,manual,,,,,,,,,,,,
"analogously,",False,implicit_similarity,manual,,,,,,,,,,,,
"by analogy,",False,implicit_similarity,manual,,,,,,,,,,,,
"drawing an analogy,",False,implicit_similarity,manual,,,,,,,,,,,,
"reframed,",False,implicit_similarity,manual,,,,,,,,,,,,
reframing,True,implicit_similarity,special_word,,,,,,,,,,,,
inspired by,True,implicit_similarity,special_word,,,,,,,,,,,,
we take inspiration,True,implicit_similarity,special_word,,,,,,,,,,,,
"drawing a parallel,",False,implicit_similarity,manual,,,,,,,,,,,,
"in particular,",False,more_specific,manual,,,,,,,,,,,,
"more practically,",False,more_specific,manual,,,,,,,,,,,,
a specific instance is,False,more_specific,manual,,,,,,,,,,,,
"more precisely,",False,more_specific,manual,,,,,,,,,,,,
"specifically,",False,more_specific,manual,,,,,,,,,,,,
"or more specifically,",False,more_specific,manual,,,,,,,,,,,,
"and specifically,",False,more_specific,manual`,,,,,,,,,,,,
"even more specifically,",False,more_specific,manual,,,,,,,,,,,,
"for instance,",False,more_specific,manual,,,,,,,,,,,,
"particularly,",False,more_specific,manual,,,,,,,,,,,,
"most specifically,",False,more_specific,manual,,,,,,,,,,,,
"when taking a closer look,",False,more_specific,manual,,,,,,,,,,,,
